Client,Bush,Well,Work,Timestamp,ДавЛевНас,ДавПравНас,ДавВыход,РасходЛевНас,РасходПравНас,РасходВыход,ТемпРецирк,ДавРецирк,ОбъемВыход,РасходВоды,Плотность
Геолог,12,34,Тести,16.12.2024, 12:14:14,221.40,161.11,196.56,500.00,0.00,75.28,202.79,0.00,176.76,500.00,307.95
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,358.67,422.52,124.52,59.25,272.74,0.00,341.64,263.42,500.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,358.67,422.52,124.52,59.25,272.74,0.00,341.64,263.42,500.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,359.39,277.84,441.62,141.08,0.00,33.40,500.00,122.73,322.15
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,359.39,277.84,441.62,141.08,0.00,33.40,500.00,122.73,322.15
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,359.39,277.84,441.62,144.42,295.68,365.42,500.00,142.10,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,500.00,500.00,500.00,144.42,295.68,365.42,500.00,142.10,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,500.00,500.00,500.00,144.42,295.68,365.42,500.00,142.10,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:15,112.71,327.88,316.05,148.65,21.97,500.00,253.42,500.00,500.00,0.00,112.22
Геолог,12,34,Тести,16.12.2024, 12:14:15,112.71,327.88,316.05,148.65,21.97,500.00,253.42,500.00,500.00,0.00,112.22
Геолог,12,34,Тести,16.12.2024, 12:14:15,112.71,327.88,316.05,148.65,21.97,500.00,253.42,500.00,500.00,0.00,112.22
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,0.00,0.00,1.88,0.00,500.00,73.98,193.43,500.00,40.18
Геолог,12,34,Тести,16.12.2024, 12:14:15,0.00,500.00,0.00,0.00,1.88,0.00,500.00,73.98,193.43,500.00,40.18
Геолог,12,34,Тести,16.12.2024, 12:14:16,190.59,500.00,0.00,290.33,0.00,0.00,500.00,0.00,0.00,179.35,342.68
Геолог,12,34,Тести,16.12.2024, 12:14:16,190.59,500.00,0.00,290.33,0.00,0.00,500.00,0.00,0.00,179.35,342.68
Геолог,12,34,Тести,16.12.2024, 12:14:16,190.59,500.00,0.00,290.33,0.00,0.00,500.00,0.00,0.00,179.35,342.68
Геолог,12,34,Тести,16.12.2024, 12:14:16,0.00,500.00,146.51,209.21,0.00,0.00,500.00,0.00,166.85,483.25,437.24
Геолог,12,34,Тести,16.12.2024, 12:14:16,0.00,500.00,146.51,209.21,0.00,0.00,500.00,0.00,166.85,483.25,437.24
Геолог,12,34,Тести,16.12.2024, 12:14:16,0.00,500.00,146.51,209.21,0.00,0.00,500.00,0.00,166.85,483.25,437.24
Геолог,12,34,Тести,16.12.2024, 12:14:16,402.78,33.27,500.00,0.00,33.77,0.00,359.58,0.00,0.00,225.26,151.02
Геолог,12,34,Тести,16.12.2024, 12:14:16,402.78,33.27,500.00,0.00,33.77,0.00,359.58,0.00,0.00,225.26,151.02
Геолог,12,34,Тести,16.12.2024, 12:14:16,402.78,33.27,500.00,0.00,0.00,0.00,198.90,0.00,0.00,0.00,123.68
Геолог,12,34,Тести,16.12.2024, 12:14:16,153.58,427.06,500.00,24.75,485.48,0.00,500.00,288.74,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,454.38,500.00,500.00,90.76,291.79,411.23,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,454.38,500.00,500.00,90.76,291.79,411.23,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,454.38,500.00,500.00,90.76,291.79,411.23,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,12.27,16.10,134.27,0.00,451.76,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,12.27,16.10,134.27,0.00,451.76,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,407.96,109.70,221.15,356.89,500.00,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,407.96,109.70,221.15,356.89,500.00,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,407.96,109.70,221.15,356.89,500.00,500.00,0.00,500.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,35.79,0.00,0.00,416.83,500.00,500.00,53.79,266.46,430.83,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,500.00,35.79,0.00,0.00,416.83,500.00,500.00,53.79,266.46,430.83,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:17,215.86,500.00,0.00,173.01,500.00,500.00,391.14,500.00,0.00,0.00,469.84
Геолог,12,34,Тести,16.12.2024, 12:14:18,0.00,500.00,0.00,0.00,500.00,145.05,500.00,389.41,0.00,313.91,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:18,0.00,500.00,0.00,0.00,500.00,145.05,500.00,389.41,0.00,313.91,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:18,0.00,500.00,0.00,0.00,500.00,500.00,500.00,500.00,0.00,0.00,457.89
Геолог,12,34,Тести,16.12.2024, 12:14:18,0.00,500.00,0.00,0.00,500.00,500.00,500.00,500.00,0.00,0.00,457.89
Геолог,12,34,Тести,16.12.2024, 12:14:18,240.10,145.25,89.48,0.00,390.12,500.00,500.00,500.00,0.00,251.51,15.99
Геолог,12,34,Тести,16.12.2024, 12:14:18,240.10,145.25,89.48,0.00,390.12,500.00,500.00,500.00,0.00,251.51,15.99
Геолог,12,34,Тести,16.12.2024, 12:14:18,240.10,145.25,89.48,0.00,390.12,500.00,500.00,500.00,0.00,251.51,15.99
Геолог,12,34,Тести,16.12.2024, 12:14:18,487.26,179.01,430.62,0.00,500.00,421.05,252.77,82.01,0.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:18,487.26,179.01,430.62,0.00,500.00,421.05,252.77,82.01,0.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:18,500.00,368.23,174.16,271.59,318.37,127.09,0.00,0.00,0.00,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:18,59.60,0.00,0.85,0.00,0.00,0.00,0.00,500.00,232.92,0.00,237.73
Геолог,12,34,Тести,16.12.2024, 12:14:19,372.32,149.06,0.00,54.16,0.00,344.91,0.00,47.54,464.95,0.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:19,372.32,149.06,0.00,54.16,0.00,344.91,0.00,47.54,464.95,0.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:19,248.90,494.32,0.00,0.00,200.22,500.00,406.64,82.15,500.00,12.30,80.49
Геолог,12,34,Тести,16.12.2024, 12:14:19,248.90,494.32,0.00,0.00,200.22,500.00,406.64,82.15,500.00,12.30,80.49
Геолог,12,34,Тести,16.12.2024, 12:14:19,500.00,500.00,0.00,341.86,363.08,500.00,0.00,495.61,500.00,266.01,66.92
Геолог,12,34,Тести,16.12.2024, 12:14:19,500.00,500.00,0.00,341.86,363.08,500.00,0.00,495.61,500.00,266.01,66.92
Геолог,12,34,Тести,16.12.2024, 12:14:19,143.73,500.00,414.57,191.04,122.38,500.00,0.00,105.45,500.00,64.85,23.65
Геолог,12,34,Тести,16.12.2024, 12:14:19,143.73,500.00,414.57,191.04,122.38,500.00,0.00,105.45,500.00,64.85,23.65
Геолог,12,34,Тести,16.12.2024, 12:14:19,0.00,500.00,0.00,0.00,0.00,500.00,0.00,0.00,37.39,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:19,0.00,500.00,0.00,0.00,0.00,500.00,0.00,0.00,37.39,0.00,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:19,444.78,500.00,0.00,0.00,500.00,222.08,372.50,500.00,500.00,500.00,313.91
Геолог,12,34,Тести,16.12.2024, 12:14:20,398.28,246.54,0.00,412.28,260.41,500.00,292.11,357.90,500.00,140.60,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:20,500.00,0.00,0.00,390.78,0.00,182.79,405.34,492.63,172.11,140.60,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:20,500.00,0.00,0.00,390.78,0.00,182.79,405.34,492.63,172.11,117.89,0.00
Геолог,12,34,Тести,16.12.2024, 12:14:20,225.20,496.82,390.02,238.31,0.00,0.00,500.00,397.13,251.73,117.89,293.11
Геолог,12,34,Тести,16.12.2024, 12:14:20,225.20,496.82,390.02,238.31,0.00,0.00,500.00,397.13,251.73,177.14,293.11
Геолог,12,34,Тести,16.12.2024, 12:14:20,112.44,500.00,500.00,272.05,429.12,265.60,366.81,500.00,191.24,500.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:20,471.28,327.76,28.55,239.97,500.00,500.00,156.01,390.47,0.00,500.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:20,471.28,327.76,28.55,239.97,500.00,500.00,156.01,390.47,0.00,500.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:20,270.71,500.00,214.87,0.00,500.00,18.29,0.03,34.85,14.03,500.00,427.69
Геолог,12,34,Тести,16.12.2024, 12:14:20,270.71,500.00,214.87,0.00,500.00,18.29,0.03,34.85,14.03,500.00,427.69
Геолог,12,34,Тести,16.12.2024, 12:14:20,365.23,150.90,236.83,55.48,0.00,0.00,462.06,500.00,18.79,0.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:21,413.95,325.47,149.45,147.27,0.00,0.00,17.81,500.00,379.14,0.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:21,500.00,500.00,278.24,81.05,0.00,250.11,209.30,80.07,243.78,0.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:21,500.00,500.00,278.24,81.05,0.00,250.11,209.30,80.07,243.78,0.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:21,500.00,500.00,297.17,0.00,11.25,175.90,500.00,500.00,473.05,366.60,429.23
Геолог,12,34,Тести,16.12.2024, 12:14:21,206.27,414.04,318.02,0.00,0.00,0.00,500.00,139.36,500.00,366.60,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:21,206.27,414.04,318.02,0.00,0.00,0.00,500.00,139.36,500.00,500.00,500.00
Геолог,12,34,Тести,16.12.2024, 12:14:21,498.38,500.00,500.00,0.00,0.00,25.67,500.00,370.47,245.84,500.00,56.67
Геолог,12,34,Тести,16.12.2024, 12:14:21,498.38,500.00,500.00,0.00,0.00,25.67,500.00,370.47,245.84,500.00,56.67
Геолог,12,34,Тести,16.12.2024, 12:14:21,210.86,291.34,221.94,305.07,492.39,0.00,500.00,500.00,396.08,500.00,311.44
Геолог,12,34,Тести,16.12.2024, 12:14:21,324.40,485.62,398.66,0.00,152.18,0.00,231.01,500.00,244.37,500.00,140.62
Буратино,12,34,Тести,16.12.2024, 12:16:39,0.00,267.50,0.00,500.00,500.00,182.96,265.95,10.81,110.82,84.34,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,154.80,0.00,422.78,500.00,500.00,0.00,3.97,185.44,421.48,0.00,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,154.80,0.00,422.78,500.00,500.00,0.00,3.97,185.44,421.48,0.00,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,63.79,0.00,333.27,500.00,500.00,0.00,114.21,0.00,500.00,484.39,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,63.79,0.00,333.27,500.00,500.00,0.00,114.21,0.00,500.00,484.39,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,63.79,0.00,333.27,500.00,500.00,0.00,114.21,0.00,500.00,484.39,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,0.00,287.46,60.49,107.99,500.00,424.50,500.00,25.48,145.91,453.84,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,0.00,287.46,60.49,107.99,500.00,424.50,500.00,25.48,145.91,453.84,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,0.00,287.46,60.49,107.99,500.00,424.50,500.00,25.48,145.91,453.84,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,0.00,203.87,500.00,8.03,500.00,170.68,500.00,0.00,0.00,454.74,253.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,0.00,203.87,500.00,8.03,500.00,170.68,500.00,0.00,0.00,454.74,253.00
Буратино,12,34,Тести,16.12.2024, 12:16:40,283.38,0.00,273.31,351.95,0.00,0.00,0.00,500.00,0.00,500.00,420.58
Буратино,12,34,Тести,16.12.2024, 12:16:40,500.00,0.00,200.85,500.00,0.00,148.04,409.51,154.52,285.51,54.32,500.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,500.00,0.00,200.85,500.00,0.00,148.04,409.51,154.52,285.51,54.32,500.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,500.00,0.00,200.85,500.00,0.00,148.04,409.51,154.52,285.51,54.32,500.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,500.00,0.00,200.85,500.00,0.00,148.04,409.51,154.52,285.51,54.32,500.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,500.00,0.00,303.97,459.64,452.12,293.19,18.17,0.00,395.86,290.73,192.83
Буратино,12,34,Тести,16.12.2024, 12:16:41,500.00,0.00,303.97,459.64,452.12,293.19,18.17,0.00,395.86,290.73,192.83
Буратино,12,34,Тести,16.12.2024, 12:16:41,500.00,0.00,303.97,459.64,452.12,293.19,18.17,0.00,395.86,290.73,192.83
Буратино,12,34,Тести,16.12.2024, 12:16:41,328.01,0.00,500.00,500.00,500.00,4.11,0.00,335.56,500.00,0.00,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,328.01,0.00,500.00,500.00,500.00,4.11,0.00,335.56,500.00,0.00,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,328.01,0.00,500.00,500.00,500.00,4.11,0.00,335.56,500.00,0.00,0.00
Буратино,12,34,Тести,16.12.2024, 12:16:41,0.00,374.01,182.94,500.00,88.67,500.00,23.41,500.00,500.00,0.00,150.90
Буратино,12,34,Тести,16.12.2024, 12:16:41,0.00,107.56,402.57,186.95,0.00,500.00,0.00,500.00,500.00,0.00,78.56
