Client,Bush,Well,Work,Data,Time,ПлотРец,ОбъемВых,РасВыход,ДавВыход
Злые геологи 2,123,340,Кондуктор 57 мм,22.11.2024,18:30:00,0.99,0,00.0,-0007.5
,,,,,18:30:01,0.99,0,00.0,-0007.5
,,,,,18:30:02,1.00,0,00.0,-0007.5
,,,,,18:30:03,0.99,0,00.0,-0007.5
,,,,,18:30:04,0.99,0,00.0,-0007.5
,,,,,18:30:05,0.99,0,00.4,-0007.4
,,,,,18:30:06,1.00,0,03.7,-0007.3
,,,,,18:30:07,0.99,4,03.9,-0007.2
,,,,,18:30:08,0.99,8,03.9,-0007.1
,,,,,18:30:09,0.99,12,03.8,-0007.0
,,,,,18:30:10,0.99,16,03.9,-0006.9
,,,,,18:30:11,1.00,20,03.8,-0006.8
,,,,,18:30:12,1.00,24,03.8,-0006.7
,,,,,18:30:13,0.99,27,03.8,-0006.5
,,,,,18:30:14,0.99,31,03.9,-0006.3
,,,,,18:30:15,0.99,35,03.8,-0006.1
,,,,,18:30:16,0.99,39,03.8,-0005.9
,,,,,18:30:17,0.99,43,03.8,-0005.8
,,,,,18:30:18,0.99,47,03.8,-0005.6
,,,,,18:30:19,0.99,50,03.7,-0005.4
,,,,,18:30:20,0.99,54,03.8,-0005.0
,,,,,18:30:21,0.99,58,03.8,-0004.8
,,,,,18:30:22,0.99,62,03.8,-0004.7
,,,,,18:30:23,0.99,65,03.8,-0004.4
,,,,,18:30:24,0.99,69,03.8,-0003.9
,,,,,18:30:25,0.99,73,03.7,-0003.8
,,,,,18:30:26,0.99,77,03.8,-0003.4
,,,,,18:30:27,0.99,81,03.8,-0002.6
,,,,,18:30:28,1.00,84,03.7,-0001.5
,,,,,18:30:29,1.00,88,03.7,-0000.6
,,,,,18:30:30,0.99,92,03.7,-0000.1
,,,,,18:30:31,0.99,95,03.7,0000.8
,,,,,18:30:32,0.99,99,03.7,0001.5
,,,,,18:30:33,0.99,103,03.5,0002.2
,,,,,18:30:34,0.99,106,03.7,0002.8
,,,,,18:30:35,0.99,110,03.5,0003.4
,,,,,18:30:36,0.99,113,03.7,0004.1
,,,,,18:30:37,0.99,117,03.5,0004.6
,,,,,18:30:38,0.99,121,03.5,0005.2
,,,,,18:30:39,0.99,124,03.5,0005.8
,,,,,18:30:40,0.99,128,03.5,0006.3
,,,,,18:30:41,0.99,131,03.5,0006.8
,,,,,18:30:42,0.99,135,03.5,0007.4
,,,,,18:30:43,0.99,138,03.5,0007.8
,,,,,18:30:44,0.99,142,03.5,0008.4
,,,,,18:30:45,0.99,145,03.4,0008.9
,,,,,18:30:46,0.99,149,03.5,0009.3
,,,,,18:30:47,0.99,152,03.5,0009.5
,,,,,18:30:48,0.99,156,03.4,0009.9
,,,,,18:30:49,0.99,159,03.5,0010.0
,,,,,18:30:50,0.99,163,03.4,0009.8
,,,,,18:30:51,0.99,166,03.5,0009.7
,,,,,18:30:52,0.99,169,03.5,0009.4
,,,,,18:30:53,0.99,173,03.5,0009.5
,,,,,18:30:54,0.99,177,03.5,0009.2
,,,,,18:30:55,0.99,180,03.5,0009.0
,,,,,18:30:56,0.99,184,03.5,0008.7
,,,,,18:30:57,0.99,187,03.5,0008.6
,,,,,18:30:58,0.99,191,03.5,0008.6
,,,,,18:30:59,0.99,194,03.5,0008.5
,,,,,18:31:00,0.99,198,03.5,0008.5
,,,,,18:31:01,0.99,201,03.9,0008.6
,,,,,18:31:02,0.99,205,04.4,0008.6
,,,,,18:31:03,0.99,210,04.2,0008.8
,,,,,18:31:04,0.99,214,04.2,0008.9
,,,,,18:31:05,0.99,218,04.2,0008.9
,,,,,18:31:06,0.99,222,04.5,0009.2
,,,,,18:31:07,1.00,227,04.4,0009.6
,,,,,18:31:08,0.99,231,04.5,0009.4
,,,,,18:31:09,0.99,236,04.8,0010.0
,,,,,18:31:10,0.99,240,04.7,0010.0
,,,,,18:31:11,0.99,245,04.8,0009.9
,,,,,18:31:12,0.99,250,04.7,0010.0
,,,,,18:31:13,0.99,255,04.7,0010.6
,,,,,18:31:14,0.99,259,04.8,0010.2
,,,,,18:31:15,0.99,264,04.7,0010.7
,,,,,18:31:16,0.99,269,04.7,0010.3
,,,,,18:31:17,0.99,273,04.8,0011.0
,,,,,18:31:18,0.99,278,04.7,0010.4
,,,,,18:31:19,0.99,283,04.7,0010.7
,,,,,18:31:20,0.99,287,04.7,0010.7
,,,,,18:31:21,1.00,292,04.7,0010.9
,,,,,18:31:22,1.00,297,04.8,0010.7
,,,,,18:31:23,0.99,301,04.7,0011.0
,,,,,18:31:24,0.99,306,04.7,0010.9
,,,,,18:31:25,0.99,311,04.7,0011.4
,,,,,18:31:26,0.99,315,04.7,0011.2
,,,,,18:31:27,0.99,320,04.7,0011.6
,,,,,18:31:28,0.99,325,04.8,0011.1
,,,,,18:31:29,0.99,330,04.7,0011.2
,,,,,18:31:30,0.99,334,04.7,0011.8
,,,,,18:31:31,0.99,339,04.7,0011.4
,,,,,18:31:32,1.00,343,04.7,0011.8
,,,,,18:31:33,1.00,348,04.7,0012.1
,,,,,18:31:34,0.99,353,04.8,0012.3
,,,,,18:31:35,0.99,358,04.8,0012.2
,,,,,18:31:36,0.99,362,04.8,0012.6
,,,,,18:31:37,0.99,367,04.9,0012.6
,,,,,18:31:38,0.99,372,05.1,0012.6
,,,,,18:31:39,0.99,377,04.9,0013.2
,,,,,18:31:40,0.99,382,05.1,0013.1
,,,,,18:31:41,0.99,387,04.9,0012.9
,,,,,18:31:42,0.99,392,04.9,0013.2
,,,,,18:31:43,0.99,397,05.1,0013.2
,,,,,18:31:44,0.99,402,04.9,0013.1
,,,,,18:31:45,0.99,407,05.1,0012.9
,,,,,18:31:46,0.99,412,04.9,0013.2
,,,,,18:31:47,0.99,417,05.1,0013.0
,,,,,18:31:48,0.99,422,04.9,0013.1
,,,,,18:31:49,0.99,427,05.1,0012.8
,,,,,18:31:50,0.99,432,04.9,0012.5
,,,,,18:31:51,0.99,437,05.1,0012.6
,,,,,18:31:52,0.99,442,04.9,0012.4
,,,,,18:31:53,0.99,447,05.1,0012.1
,,,,,18:31:54,0.99,452,04.9,0011.9
