Time		P_left	P_right	P_pipe	Q_left	Q_right	Q_pipe	VolumeL	VolumeR	VolumePipe	Qw	Dens_recirc	Dens_pipe	DesignIdx	StagesIdx	VolumeLR	CementValveOut	PressAlarmVal	Q_LR	StageCode	T_REC	T_LINE										
12:33:38	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	24577	16805	0
12:33:45	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	29491	16805	0
12:33:46	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	29491	16805	0
12:33:47	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	34407	16805	0
12:33:48	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	34407	16805	0
12:33:49	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	34407	16805	0
12:33:50	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	21	0	0	0	0	0	-26219	-16487	4916	16811	0
12:33:51	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	25	0	0	0	0	0	-26219	-16487	62261	16841	0
12:33:52	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	31	0	0	0	0	0	-26219	-16487	60620	16891	0
12:33:53	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	36	0	0	0	0	0	-26219	-16487	54068	16911	0
12:33:54	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	39	0	0	0	0	0	-26219	-16487	2457	16924	0
12:33:55	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	41	0	0	0	0	0	-26219	-16487	42599	16931	0
12:33:56	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	44	0	0	0	0	0	-26219	-16487	35227	16942	0
12:33:57	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	47	0	0	0	0	0	-26219	-16487	26215	16957	0
12:33:58	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	54	0	0	0	0	0	-26219	-16487	2458	16983	0
12:33:59	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	58	0	0	0	0	0	-26219	-16487	41779	16999	0
12:34:00	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	60	0	0	0	0	0	-26219	-16487	24577	17009	0
12:34:01	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	62	0	0	0	0	0	-26219	-16487	9011	17014	0
12:34:02	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	62	0	0	0	0	0	-26219	-16487	16385	17015	0
12:34:03	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	62	0	0	0	0	0	-26219	-16487	22938	17014	0
12:34:04	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	61	0	0	0	0	0	-26219	-16487	32769	17010	0
12:34:05	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	60	0	0	0	0	0	-26219	-16487	55707	17007	0
12:34:06	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	59	0	0	0	0	0	-26219	-16487	62260	17002	0
12:34:07	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	58	0	0	0	0	0	-26219	-16487	26215	16998	0
12:34:08	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	56	0	0	0	0	0	-26219	-16487	1639	16993	0
12:34:09	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	55	0	0	0	0	0	-26219	-16487	59802	16987	0
12:34:10	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	54	0	0	0	0	0	-26219	-16487	35226	16982	0
12:34:11	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	52	0	0	0	0	0	-26219	-16487	34407	16977	0
12:34:12	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	51	0	0	0	0	0	-26219	-16487	26215	16972	0
12:34:13	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	50	0	0	0	0	0	-26219	-16487	30311	16967	0
12:34:14	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	49	0	0	0	0	0	-26219	-16487	53249	16962	0
12:34:15	31.08.2024	0	0	0	000.0	000.0	000.0	0	0	0	00.0	-0.036	-0.036	0	1	0	0	000.0	00.0	65535	-1	47	0	0	0	0	0	-26219	-16487	28673	16956	0
