Time;Ppipe;Plmm;QL;QR
12:33:38;5;10;12;10;
12:33:45;5;10;12;10;
12:33:46;6;10;12;10;6;
12:33:47;7;10;12;10;
12:33:48;8;9;12;9;8;
12:33:49;7;9;12;9;7;
12:33:50;6;9;12;9;6;
12:33:51;5;9;12;9;5;
12:33:52;5;9;12;9;5;
12:33:53;6;8;12;8;6;
12:33:54;5;7;13;7;5;
12:33:55;4;7;14;7;4;
12:33:56;8;7;12;7;8;
12:33:57;9;7;12;7;9;
12:33:58;10;7;12;7;10;
12:33:59;9;7;12;7;9;
12:34:00;9;7;12;7;9;
12:34:01;9;6;12;6;9;
12:34:02;9;6;12;6;9;
12:34:03;8;6;12;6;8;
12:34:04;8;6;12;6;8;
12:34:05;7;8;12;8;7;
12:34:06;6;9;12;9;6;
12:34:07;5;10;12;10;5;
12:34:08;4;10;12;10;4;
12:34:09;5;10;12;10;5;
12:34:10;5;10;13;10;5;
12:34:11;5;10;14;10;5;
12:34:12;5;10;12;10;5;
12:34:13;5;10;12;10;5;
12:34:14;5;10;12;10;5;
12:34:15;5;10;12;10;5;
12:34:16;5;10;10;10;5;
12:34:17;5;9;9;9;5;
