Client,Bush,Well,Work,Date,Time,ДавЛевНас,ДавПравНас,ДавВыход,РасходЛевНас,РасходПравНас,РасходВыход,ТемпРецирк,ПлотРецирк,ОбъемВыход,РасходВоды,Плотность
Газмяс,12,34,Проба,20.01.2025,15:03:59,171.81,0.00,0.00,441.36,0.00,0.00,0.00,0.00,0.00,0.00,32.32
,,,,,15:04:00,500.00,0.00,0.00,46.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:04:03,500.00,0.00,0.00,134.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:04:06,245.07,0.00,0.00,200.87,0.00,0.00,0.00,0.00,0.00,0.00,333.44
,,,,,15:04:10,189.69,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,400.31
,,,,,15:04:14,500.00,0.00,0.00,96.43,0.00,0.00,0.00,0.00,0.00,0.00,86.35
,,,,,15:04:19,0.00,0.00,0.00,418.81,0.00,0.00,0.00,0.00,0.00,0.00,337.27
,,,,,15:04:28,308.96,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:04:30,500.00,0.00,0.00,283.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:04:34,500.00,0.00,0.00,148.65,0.00,0.00,0.00,0.00,0.00,0.00,61.16
,,,,,15:04:41,320.35,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,39.89
,,,,,15:04:45,450.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00
,,,,,15:04:46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00
,,,,,15:04:54,486.58,0.00,0.00,152.44,0.00,0.00,0.00,0.00,0.00,0.00,69.13
,,,,,15:05:00,399.06,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00
,,,,,15:05:10,66.56,0.00,0.00,341.26,0.00,0.00,0.00,0.00,0.00,0.00,227.18
,,,,,15:05:15,0.00,0.00,0.00,240.43,0.00,0.00,0.00,0.00,0.00,0.00,444.27
,,,,,15:05:19,451.48,0.00,0.00,85.60,0.00,0.00,0.00,0.00,0.00,0.00,444.27
,,,,,15:05:24,29.34,0.00,0.00,409.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:05:25,0.00,0.00,0.00,409.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:05:30,329.12,0.00,0.00,409.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,15:05:45,495.38,0.00,0.00,383.91,0.00,0.00,0.00,0.00,0.00,0.00,81.80
,,,,,15:05:46,0.00,0.00,0.00,383.91,0.00,0.00,0.00,0.00,0.00,0.00,81.80
,,,,,15:05:58,500.00,0.00,0.00,350.50,0.00,0.00,0.00,0.00,0.00,0.00,328.06
,,,,,15:05:59,306.39,0.00,0.00,350.50,0.00,0.00,0.00,0.00,0.00,0.00,328.06
,,,,,15:06:14,0.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,217.59
