Client,Bush,Well,Work,Date,Time,ТемпРецирк,ПлотРецирк,ОбъемВыход,РасходВоды,Плотность
Клиент,12,34,тест,21.01.2025,13:56:15,50.00,450.00,26.21,0.00,0.00
,,,,,13:56:16,50.00,0.00,140.65,48.40,0.00
,,,,,13:56:17,3.68,251.55,100.00,32.31,1.05
,,,,,13:56:18,1.74,0.00,100.00,50.00,0.96
,,,,,13:56:20,50.00,278.81,0.00,50.00,0.00
,,,,,13:56:21,17.68,79.30,376.54,0.00,0.96
,,,,,13:56:22,50.00,105.72,0.00,0.00,0.00
,,,,,13:56:23,50.00,450.00,100.00,0.00,0.00
,,,,,13:56:24,50.00,163.76,0.00,41.32,0.00
,,,,,13:56:25,0.00,307.65,12.98,35.02,0.69
,,,,,13:56:26,50.00,23.61,100.00,50.00,0.00
,,,,,13:56:27,50.00,450.00,450.00,16.14,3.00
,,,,,13:56:28,20.33,0.00,0.00,50.00,2.82
,,,,,13:56:28,47.28,450.00,263.37,20.98,0.00
,,,,,13:56:29,0.00,450.00,81.38,50.00,0.94
,,,,,13:56:30,0.00,450.00,304.58,22.85,0.00
,,,,,13:56:31,50.00,341.39,0.00,50.00,3.00
,,,,,13:56:32,13.68,0.00,100.00,50.00,0.00
,,,,,13:56:33,0.00,145.63,0.00,27.92,0.82
,,,,,13:56:34,22.96,382.48,442.22,0.00,3.00
,,,,,13:56:35,35.93,443.12,425.79,5.59,0.42
,,,,,13:56:36,0.00,0.00,19.87,50.00,0.00
,,,,,13:56:37,0.00,444.62,100.00,0.00,1.61
,,,,,13:56:38,2.65,415.81,48.70,41.63,0.52
,,,,,13:56:39,50.00,450.00,0.00,2.09,2.05
,,,,,13:56:40,44.87,0.00,100.00,0.00,1.43
,,,,,13:56:41,14.03,450.00,100.00,44.03,3.00
,,,,,13:56:42,42.61,0.00,100.00,50.00,3.00
,,,,,13:56:43,0.00,40.45,100.00,0.00,2.70
,,,,,13:56:44,35.80,110.43,100.00,50.00,3.00
,,,,,13:56:45,49.97,144.23,64.78,0.00,0.00
,,,,,13:56:46,50.00,35.51,49.22,12.42,0.00
,,,,,13:56:47,0.00,333.46,57.62,50.00,3.00
,,,,,13:56:48,50.00,450.00,0.00,0.00,3.00
,,,,,13:56:49,50.00,147.02,78.23,0.00,0.00
,,,,,13:56:50,35.01,195.05,100.00,10.09,0.39
,,,,,13:56:51,50.00,338.70,0.00,0.00,0.00
,,,,,13:56:52,9.76,0.00,0.00,21.62,2.63
,,,,,13:56:53,3.73,0.00,100.00,10.28,2.33
,,,,,13:56:54,50.00,0.00,100.00,20.59,0.00
,,,,,13:56:56,14.33,450.00,100.00,50.00,3.00
,,,,,13:56:57,10.78,162.50,0.00,50.00,0.67
,,,,,13:56:58,0.00,170.52,2.00,0.00,0.00
,,,,,13:56:59,21.05,450.00,100.00,41.78,2.73
,,,,,13:57:01,39.47,26.42,45.78,50.00,0.00
,,,,,13:57:02,50.00,359.51,0.00,0.00,0.00
,,,,,13:57:03,19.72,0.00,100.00,20.86,0.00
,,,,,13:57:05,10.99,0.00,12.39,33.25,1.15
,,,,,13:57:06,0.00,450.00,100.00,0.00,3.00
,,,,,13:57:08,0.00,0.00,94.36,0.00,3.00
,,,,,13:57:09,50.00,297.83,26.98,0.00,0.33
