Client,Bush,Well,Work,Date,Time,ДавЛевНас,ДавПравНас,ДавВыход,РасходЛевНас,РасходПравНас,РасходВыход,ОбъемВыход
Кошка,12,45,тест,20.12.2024,17:52:16,0.00,486.59,0.00,0.00,500.00,465.79,500.00
,,,,,17:52:17,370.55,500.00,323.95,0.00,391.69,168.24,500.00
,,,,,17:52:18,370.55,500.00,323.95,0.00,391.69,168.24,500.00
,,,,,17:52:19,370.55,500.00,323.95,0.00,391.69,168.24,500.00
,,,,,17:52:20,370.55,500.00,323.95,0.00,391.69,168.24,500.00
,,,,,17:52:21,500.00,500.00,500.00,394.64,147.18,0.00,149.53
,,,,,17:52:22,500.00,500.00,500.00,394.64,147.18,0.00,149.53
,,,,,17:52:23,0.00,271.81,500.00,500.00,500.00,206.20,348.65
,,,,,17:52:24,0.00,271.81,500.00,500.00,500.00,206.20,348.65
,,,,,17:52:25,0.00,271.81,500.00,500.00,500.00,206.20,348.65
,,,,,17:52:26,0.00,271.81,500.00,500.00,500.00,206.20,348.65
,,,,,17:52:27,0.00,173.94,492.02,500.00,17.75,28.68,387.84
,,,,,17:52:28,0.00,173.94,492.02,500.00,17.75,28.68,387.84
,,,,,17:52:29,0.00,173.94,492.02,500.00,17.75,28.68,387.84
,,,,,17:52:30,0.00,500.00,0.00,0.00,96.65,500.00,144.31
,,,,,17:52:31,0.00,500.00,0.00,0.00,96.65,500.00,144.31
,,,,,17:52:32,0.00,136.47,117.61,0.00,109.58,500.00,500.00
,,,,,17:52:33,0.00,136.47,117.61,0.00,109.58,500.00,500.00
,,,,,17:52:34,0.00,136.47,117.61,0.00,109.58,500.00,500.00
,,,,,17:52:35,0.00,136.47,117.61,0.00,109.58,500.00,500.00
,,,,,17:52:36,0.00,136.47,117.61,0.00,109.58,500.00,245.20
,,,,,17:52:37,118.83,0.00,16.22,30.58,426.97,188.62,500.00
,,,,,17:52:38,187.91,309.86,89.94,0.00,0.00,500.00,472.51
,,,,,17:52:39,187.91,309.86,89.94,0.00,0.00,500.00,472.51
,,,,,17:52:40,187.91,309.86,89.94,0.00,0.00,500.00,472.51
,,,,,17:52:41,187.91,309.86,89.94,0.00,0.00,500.00,472.51
,,,,,17:52:42,446.10,68.80,500.00,206.50,2.27,500.00,268.66
,,,,,17:52:43,446.10,68.80,500.00,206.50,2.27,500.00,268.66
,,,,,17:52:44,500.00,279.94,72.84,0.00,49.14,500.00,416.52
,,,,,17:52:45,500.00,279.94,72.84,0.00,49.14,500.00,416.52
,,,,,17:52:46,123.31,500.00,0.00,236.05,312.15,500.00,500.00
,,,,,17:52:47,123.31,500.00,0.00,236.05,312.15,500.00,500.00
,,,,,17:52:48,123.31,500.00,0.00,236.05,312.15,500.00,500.00
,,,,,17:52:49,123.31,500.00,0.00,236.05,312.15,500.00,500.00
,,,,,17:52:50,0.00,435.27,395.36,0.00,47.56,390.43,500.00
,,,,,17:52:51,0.00,462.56,420.62,276.30,456.84,289.21,500.00
,,,,,17:52:52,0.00,500.00,500.00,318.49,500.00,457.94,500.00
,,,,,17:52:53,0.00,500.00,500.00,318.49,500.00,457.94,500.00
,,,,,17:52:54,0.00,500.00,500.00,318.49,500.00,457.94,500.00
,,,,,17:52:55,0.00,58.98,500.00,500.00,154.84,286.44,500.00
,,,,,17:52:56,0.00,58.98,500.00,500.00,154.84,286.44,500.00
,,,,,17:52:57,0.00,58.98,500.00,500.00,154.84,286.44,500.00
,,,,,17:52:58,37.02,500.00,500.00,500.00,384.22,500.00,0.00
,,,,,17:52:59,37.02,500.00,500.00,500.00,384.22,500.00,0.00
,,,,,17:53:00,0.00,500.00,0.26,150.16,500.00,480.61,0.00
,,,,,17:53:01,0.00,500.00,0.26,150.16,500.00,480.61,0.00
,,,,,17:53:02,0.00,500.00,0.26,150.16,500.00,480.61,0.00
,,,,,17:53:03,0.00,451.94,428.33,460.81,500.00,224.64,0.00
,,,,,17:53:04,0.00,451.94,428.33,460.81,500.00,224.64,0.00
,,,,,17:53:05,500.00,109.38,500.00,320.46,464.41,487.10,62.71
,,,,,17:53:06,500.00,109.38,500.00,320.46,464.41,487.10,62.71
,,,,,17:53:07,500.00,109.38,500.00,320.46,464.41,487.10,62.71
,,,,,17:53:08,500.00,500.00,500.00,0.00,500.00,500.00,356.69
,,,,,17:53:09,500.00,500.00,500.00,0.00,500.00,500.00,356.69
,,,,,17:53:10,500.00,500.00,500.00,0.00,500.00,500.00,356.69
,,,,,17:53:11,384.08,305.81,359.87,226.15,500.00,480.63,33.18
,,,,,17:53:12,66.83,56.88,95.51,397.73,444.20,302.62,500.00
,,,,,17:53:13,66.83,56.88,95.51,397.73,444.20,302.62,500.00
,,,,,17:53:14,154.41,0.00,0.00,255.15,500.00,0.00,500.00
,,,,,17:53:15,154.41,0.00,0.00,255.15,500.00,0.00,500.00
,,,,,17:53:16,154.41,0.00,0.00,255.15,500.00,0.00,500.00
,,,,,17:53:17,0.00,0.00,291.28,0.00,500.00,0.00,500.00
,,,,,17:53:18,0.00,0.00,291.28,0.00,500.00,0.00,500.00
,,,,,17:53:19,153.71,0.00,40.46,39.90,500.00,136.35,0.00
,,,,,17:53:20,153.71,0.00,40.46,39.90,500.00,136.35,0.00
,,,,,17:53:21,0.00,0.00,248.27,0.00,500.00,6.98,0.00
,,,,,17:53:22,0.00,0.00,248.27,0.00,500.00,6.98,0.00
,,,,,17:53:23,0.00,0.00,248.27,0.00,500.00,6.98,0.00
,,,,,17:53:24,0.00,470.21,0.00,0.00,500.00,0.00,338.87
,,,,,17:53:25,0.00,470.21,0.00,0.00,500.00,0.00,338.87
,,,,,17:53:26,132.45,500.00,500.00,500.00,390.23,461.62,37.68
,,,,,17:53:27,132.45,500.00,500.00,500.00,390.23,461.62,0.00
,,,,,17:53:28,440.98,209.43,500.00,500.00,247.06,500.00,0.00
,,,,,17:53:29,440.98,209.43,500.00,500.00,247.06,500.00,0.00
,,,,,17:53:30,500.00,0.00,500.00,35.27,500.00,25.85,0.00
,,,,,17:53:31,500.00,0.00,500.00,35.27,500.00,25.85,0.00
