Client,Bush,Well,Work,Date,Time,ДавПравНас,ДавВыход,РасходПравНас,ТемпРецирк,ПлотРецирк,РасходВоды
Клиент,123,456,тест,19.12.2024,14:18:06,496.80,117.24,0.00,500.00,0.00,139.59
,,,,,14:18:07,144.08,411.46,0.00,500.00,0.00,139.59
,,,,,14:18:08,309.88,478.22,0.00,238.61,213.74,0.00
,,,,,14:18:09,309.88,478.22,0.00,238.61,213.74,0.00
,,,,,14:18:10,309.88,478.22,0.00,238.61,213.74,0.00
,,,,,14:18:11,309.88,478.22,0.00,238.61,213.74,0.00
,,,,,14:18:12,310.09,0.00,28.42,0.00,43.24,500.00
,,,,,14:18:13,310.09,0.00,28.42,0.00,43.24,500.00
,,,,,14:18:14,310.09,0.00,28.42,0.00,43.24,500.00
,,,,,14:18:15,342.81,0.00,482.01,0.00,368.21,500.00
,,,,,14:18:16,342.81,0.00,482.01,0.00,368.21,500.00
,,,,,14:18:17,342.81,0.00,482.01,0.00,368.21,500.00
,,,,,14:18:18,0.00,261.45,218.57,0.00,0.00,459.75
,,,,,14:18:19,0.00,261.45,218.57,0.00,0.00,459.75
,,,,,14:18:20,133.25,415.75,0.00,284.73,0.00,500.00
,,,,,14:18:21,133.25,415.75,0.00,284.73,0.00,500.00
,,,,,14:18:22,133.25,415.75,0.00,284.73,0.00,500.00
,,,,,14:18:23,133.25,415.75,0.00,284.73,0.00,500.00
,,,,,14:18:24,0.00,500.00,276.69,0.00,500.00,500.00
,,,,,14:18:25,95.89,500.00,150.91,315.19,468.60,500.00
,,,,,14:18:26,95.89,500.00,150.91,315.19,468.60,500.00
,,,,,14:18:27,95.89,500.00,150.91,315.19,468.60,500.00
,,,,,14:18:28,95.89,500.00,150.91,315.19,468.60,500.00
,,,,,14:18:29,95.89,500.00,150.91,315.19,468.60,500.00
,,,,,14:18:30,380.30,187.59,500.00,40.50,0.00,500.00
,,,,,14:18:31,81.28,0.00,7.62,0.00,0.00,49.01
,,,,,14:18:32,81.28,0.00,7.62,0.00,0.00,49.01
,,,,,14:18:33,81.28,0.00,7.62,0.00,0.00,49.01
,,,,,14:18:34,0.00,373.14,228.13,396.64,39.57,358.55
,,,,,14:18:35,0.00,373.14,228.13,396.64,39.57,358.55
,,,,,14:18:36,500.00,204.25,0.00,161.51,0.00,0.00
,,,,,14:18:37,500.00,0.00,0.00,285.70,114.44,0.00
,,,,,14:18:38,500.00,0.00,0.00,285.70,114.44,0.00
,,,,,14:18:39,500.00,0.00,0.00,285.70,114.44,0.00
,,,,,14:18:40,500.00,0.00,0.00,285.70,114.44,0.00
,,,,,14:18:41,500.00,0.00,0.00,500.00,101.36,0.00
,,,,,14:18:42,0.00,353.36,500.00,80.27,127.88,0.00
,,,,,14:18:43,0.00,353.36,500.00,80.27,127.88,0.00
,,,,,14:18:44,0.00,353.36,500.00,80.27,127.88,0.00
,,,,,14:18:45,0.00,353.36,500.00,80.27,127.88,0.00
,,,,,14:18:46,0.00,353.36,500.00,80.27,127.88,0.00
,,,,,14:18:47,0.00,500.00,406.65,0.00,0.00,475.06
,,,,,14:18:48,0.00,51.52,0.00,0.00,0.00,0.00
,,,,,14:18:49,0.00,51.52,0.00,0.00,0.00,0.00
,,,,,14:18:50,0.00,51.52,0.00,0.00,0.00,0.00
,,,,,14:18:51,307.37,113.84,0.00,0.00,0.00,104.96
,,,,,14:18:52,307.37,113.84,0.00,0.00,0.00,104.96
,,,,,14:18:53,307.37,113.84,0.00,0.00,0.00,104.96
,,,,,14:18:54,239.55,0.00,0.00,310.13,0.00,86.33
,,,,,14:18:55,239.55,0.00,0.00,310.13,0.00,86.33
,,,,,14:18:56,500.00,421.43,263.28,500.00,18.46,459.69
,,,,,14:18:57,500.00,421.43,263.28,500.00,18.46,459.69
,,,,,14:18:58,500.00,421.43,263.28,500.00,18.46,459.69
,,,,,14:18:59,500.00,421.43,263.28,500.00,18.46,459.69
,,,,,14:19:00,218.36,500.00,500.00,0.00,493.40,71.10
,,,,,14:19:01,0.00,140.41,374.19,166.96,175.77,388.07
,,,,,14:19:02,0.00,140.41,374.19,166.96,175.77,388.07
,,,,,14:19:03,0.00,140.41,374.19,166.96,175.77,388.07
,,,,,14:19:04,0.00,140.41,374.19,166.96,175.77,388.07
,,,,,14:19:05,7.83,500.00,498.83,0.00,0.00,386.69
,,,,,14:19:06,293.73,256.88,10.17,500.00,290.46,438.90
,,,,,14:19:07,500.00,0.00,12.62,500.00,159.26,257.03
,,,,,14:19:08,500.00,0.00,12.62,500.00,159.26,257.03
,,,,,14:19:09,500.00,0.00,12.62,500.00,159.26,257.03
,,,,,14:19:10,500.00,0.00,0.00,54.37,0.00,0.00
,,,,,14:19:11,500.00,0.00,0.00,54.37,0.00,0.00
,,,,,14:19:12,500.00,312.93,66.49,175.82,78.82,500.00
,,,,,14:19:13,500.00,500.00,135.39,0.00,0.00,449.52
,,,,,14:19:14,500.00,500.00,135.39,0.00,0.00,449.52
,,,,,14:19:15,500.00,500.00,135.39,0.00,0.00,449.52
,,,,,14:19:16,5.89,500.00,500.00,124.40,0.00,168.87
,,,,,14:19:17,5.89,500.00,500.00,124.40,0.00,168.87
,,,,,14:19:18,6.83,500.00,0.00,449.15,500.00,0.00
,,,,,14:19:19,6.83,500.00,0.00,449.15,500.00,0.00
,,,,,14:19:20,6.83,500.00,0.00,449.15,500.00,0.00
,,,,,14:19:21,6.83,500.00,374.96,378.76,500.00,0.00
,,,,,14:19:22,367.75,500.00,374.96,378.76,500.00,0.00
,,,,,14:19:23,367.75,500.00,374.96,452.02,390.40,0.00
,,,,,14:19:24,111.12,0.00,0.00,500.00,32.48,196.02
,,,,,14:19:25,111.12,0.00,0.00,500.00,32.48,196.02
,,,,,14:19:26,111.12,0.00,0.00,500.00,32.48,196.02
,,,,,14:19:27,0.00,456.26,0.00,500.00,373.13,500.00
,,,,,14:19:28,0.00,456.26,0.00,500.00,373.13,500.00
,,,,,14:19:29,0.00,456.26,0.00,500.00,373.13,500.00
,,,,,14:19:30,500.00,500.00,494.08,0.00,142.54,234.82
,,,,,14:19:31,500.00,345.08,362.78,0.00,0.00,0.00
,,,,,14:19:32,500.00,345.08,362.78,0.00,0.00,0.00
,,,,,14:19:33,379.65,70.85,0.00,0.00,115.01,0.00
,,,,,14:19:34,379.65,70.85,0.00,0.00,115.01,0.00
,,,,,14:19:35,379.65,70.85,0.00,0.00,115.01,0.00
,,,,,14:19:36,500.00,500.00,336.80,202.87,0.00,500.00
,,,,,14:19:37,52.07,500.00,355.39,351.73,0.00,500.00
,,,,,14:19:38,52.07,500.00,355.39,351.73,0.00,500.00
,,,,,14:19:39,52.07,500.00,355.39,351.73,0.00,500.00
,,,,,14:19:40,0.00,500.00,500.00,500.00,335.45,500.00
,,,,,14:19:41,0.00,500.00,500.00,500.00,335.45,500.00
,,,,,14:19:42,358.64,421.96,0.00,0.00,339.62,359.38
,,,,,14:19:43,500.00,331.67,0.00,54.81,500.00,42.21
,,,,,14:19:44,165.51,164.42,392.77,283.10,500.00,194.43
,,,,,14:19:45,165.51,164.42,392.77,283.10,500.00,194.43
,,,,,14:19:46,165.51,164.42,392.77,283.10,500.00,194.43
,,,,,14:19:47,165.65,0.00,0.00,500.00,500.00,109.82
,,,,,14:19:48,0.00,0.00,13.88,410.61,500.00,500.00
,,,,,14:19:49,299.53,0.00,0.00,0.00,500.00,500.00
,,,,,14:19:50,299.53,0.00,0.00,0.00,500.00,500.00
,,,,,14:19:51,0.00,179.72,0.00,0.00,470.55,471.34
,,,,,14:19:52,0.00,179.72,0.00,0.00,470.55,471.34
,,,,,14:19:53,0.00,406.13,0.00,0.00,338.38,190.98
,,,,,14:19:54,500.00,0.00,497.64,137.90,282.05,381.85
,,,,,14:19:55,500.00,0.00,497.64,137.90,282.05,381.85
,,,,,14:19:56,500.00,0.00,500.00,134.42,0.00,242.86
,,,,,14:19:57,500.00,0.00,500.00,134.42,0.00,242.86
,,,,,14:19:58,142.65,0.00,500.00,210.54,39.78,0.00
,,,,,14:19:59,142.65,0.00,500.00,210.54,39.78,0.00
,,,,,14:20:00,500.00,0.00,500.00,0.00,500.00,0.00
,,,,,14:20:01,500.00,0.00,500.00,0.00,500.00,0.00
,,,,,14:20:02,500.00,0.00,500.00,0.00,500.00,0.00
,,,,,14:20:03,500.00,0.00,500.00,25.08,39.66,55.06
,,,,,14:20:04,500.00,0.00,500.00,25.08,39.66,55.06
,,,,,14:20:05,346.11,0.00,481.73,0.00,70.91,0.00
,,,,,14:20:06,459.36,394.55,0.00,497.12,0.00,325.84
,,,,,14:20:07,459.36,394.55,0.00,497.12,0.00,325.84
,,,,,14:20:08,500.00,0.00,326.76,443.15,343.48,14.38
,,,,,14:20:09,500.00,0.00,326.76,443.15,343.48,14.38
,,,,,14:20:10,500.00,0.00,5.66,500.00,500.00,0.00
,,,,,14:20:11,500.00,0.00,5.66,500.00,500.00,0.00
,,,,,14:20:12,297.93,500.00,0.00,0.00,0.00,263.78
,,,,,14:20:13,39.37,385.88,0.00,106.54,314.20,49.76
,,,,,14:20:14,39.37,385.88,0.00,106.54,314.20,49.76
,,,,,14:20:15,0.00,462.08,0.00,101.64,0.00,500.00
,,,,,14:20:16,0.00,462.08,0.00,101.64,0.00,500.00
,,,,,14:20:17,0.00,500.00,312.01,398.81,1.38,76.89
,,,,,14:20:18,0.00,500.00,495.12,0.00,443.63,461.31
,,,,,14:20:19,450.83,500.00,162.31,0.00,254.38,463.09
,,,,,14:20:20,500.00,327.68,258.12,0.00,37.94,500.00
,,,,,14:20:21,500.00,327.68,258.12,0.00,37.94,500.00
,,,,,14:20:22,500.00,327.68,258.12,0.00,37.94,500.00
,,,,,14:20:23,28.71,58.88,0.00,0.00,458.52,6.04
,,,,,14:20:24,0.00,500.00,295.34,500.00,392.81,451.71
,,,,,14:20:25,0.00,500.00,295.34,500.00,392.81,451.71
,,,,,14:20:26,0.00,500.00,500.00,105.93,352.26,500.00
