Client,Bush,Well,Work,Data,Time,ДавПравНас,ДавВыход
ке,45,45,кеук,18:08:22
,,,,,18:08:02,,
,,,,,18:08:03,,
,,,,,18:08:04,,
,,,,,18:08:05,,
,,,,,18:08:06,,
,,,,,18:08:07,,
,,,,,18:08:08,,
,,,,,18:08:09,,
,,,,,18:08:10,,
,,,,,18:08:11,,
,,,,,18:08:12,,
,,,,,18:08:13,,
,,,,,18:08:14,,
,,,,,18:08:15,,
,,,,,18:08:16,,
,,,,,18:08:17,,
,,,,,18:08:18,,
,,,,,18:08:19,,
,,,,,18:08:20,,
,,,,,18:08:21,,
,,,,,18:08:22,,
,,,,,18:08:23,,
,,,,,18:08:24,,
,,,,,18:08:25,,
,,,,,18:08:26,,
,,,,,18:08:27,,
,,,,,18:08:28,,
,,,,,18:08:29,,
,,,,,18:08:30,,
,,,,,18:08:31,,
,,,,,18:08:32,,
,,,,,18:08:33,,
,,,,,18:08:34,,
,,,,,18:08:35,,
,,,,,18:08:36,,
,,,,,18:08:37,,
,,,,,18:08:38,,
,,,,,18:08:39,,
,,,,,18:08:40,,
,,,,,18:08:41,,
,,,,,18:08:42,,
,,,,,18:08:43,,
,,,,,18:08:44,,
,,,,,18:08:45,,
,,,,,18:08:46,,
,,,,,18:08:47,,
,,,,,18:08:48,,
,,,,,18:08:49,,
,,,,,18:08:50,,
,,,,,18:08:51,,
,,,,,18:08:52,,
,,,,,18:08:53,,
,,,,,18:08:54,,
,,,,,18:08:55,,
,,,,,18:08:56,,
,,,,,18:08:57,,
,,,,,18:08:58,,
,,,,,18:08:59,,
,,,,,18:09:00,,
,,,,,18:09:01,,
,,,,,18:09:02,,
,,,,,18:09:03,,
,,,,,18:09:04,,
,,,,,18:09:05,,
,,,,,18:09:06,,
,,,,,18:09:07,,
,,,,,18:09:08,,
,,,,,18:09:09,,
,,,,,18:09:10,,
,,,,,18:09:11,,
,,,,,18:09:12,,
,,,,,18:09:13,,
,,,,,18:09:14,,
,,,,,18:09:15,,
,,,,,18:09:16,,
,,,,,18:09:17,,
,,,,,18:09:18,,
,,,,,18:09:19,,
,,,,,18:09:20,,
,,,,,18:09:21,,
,,,,,18:09:22,,
,,,,,18:09:23,,
,,,,,18:09:24,,
,,,,,18:09:25,,
,,,,,18:09:26,,
,,,,,18:09:27,,
,,,,,18:09:28,,
,,,,,18:09:29,,
,,,,,18:09:30,,
,,,,,18:09:31,,
,,,,,18:09:32,,
,,,,,18:09:33,,
,,,,,18:09:34,,
,,,,,18:09:35,,
,,,,,18:09:36,,
,,,,,18:09:37,,
,,,,,18:09:38,,
