Client,Bush,Well,Work,Date,Time,ДавЛевНас,РасходЛевНас,Плотность
Буратино,34,56,Тест 4,20.01.2025,14:50:11,426.22,0.00,500.00
,,,,,14:50:12,38.59,500.00,98.70
,,,,,14:50:13,13.49,0.00,0.00
,,,,,14:50:14,500.00,500.00,500.00
,,,,,14:50:15,0.00,0.00,221.52
,,,,,14:50:16,0.00,500.00,427.25
,,,,,14:50:17,500.00,263.30,0.00
,,,,,14:50:18,346.79,381.56,0.00
,,,,,14:50:19,80.98,84.13,500.00
,,,,,14:50:20,87.80,294.85,500.00
,,,,,14:50:21,387.73,205.16,466.89
,,,,,14:50:22,51.36,0.00,45.07
,,,,,14:50:23,0.00,0.88,79.74
,,,,,14:50:24,500.00,117.43,259.39
,,,,,14:50:25,500.00,342.15,239.25
,,,,,14:50:26,500.00,44.66,0.00
,,,,,14:50:27,0.00,500.00,167.94
,,,,,14:50:28,338.89,0.00,142.24
,,,,,14:50:29,500.00,500.00,161.68
,,,,,14:50:30,428.57,500.00,500.00
,,,,,14:50:31,0.00,0.00,0.00
,,,,,14:50:32,0.00,198.72,500.00
,,,,,14:50:33,480.67,500.00,485.16
,,,,,14:50:34,409.35,105.19,500.00
,,,,,14:50:35,500.00,500.00,260.92
,,,,,14:50:36,0.00,500.00,500.00
,,,,,14:50:37,478.41,75.79,0.00
,,,,,14:50:38,0.00,476.19,0.00
,,,,,14:50:39,426.52,0.00,0.00
,,,,,14:50:40,0.00,400.47,300.73
,,,,,14:50:41,500.00,394.80,0.00
,,,,,14:50:42,231.09,500.00,0.00
,,,,,14:50:43,12.26,480.57,325.30
,,,,,14:50:44,490.02,500.00,469.40
,,,,,14:50:45,344.25,500.00,439.68
,,,,,14:50:46,0.00,213.70,146.44
,,,,,14:50:47,0.00,0.00,403.39
,,,,,14:50:48,446.30,500.00,229.25
,,,,,14:50:49,191.75,460.30,173.06
,,,,,14:50:50,500.00,500.00,408.20
,,,,,14:50:51,356.80,16.67,178.96
,,,,,14:50:52,0.00,278.21,104.87
