Client,Bush,Well,Work,Date,Time,ДавПравНас,РасходЛевНас,ТемпРецирк,РасходВоды,Плотность
ывф,12,23,ыава,28.12.2024,17:35:11,500.00,0.00,500.00,0.00,153.42
,,,,,17:35:12,485.12,500.00,244.04,483.39,425.66
,,,,,17:35:13,479.24,0.00,500.00,468.36,0.00
,,,,,17:35:14,0.00,189.26,238.47,0.00,0.00
,,,,,17:35:15,151.02,157.01,500.00,500.00,366.59
,,,,,17:35:16,25.29,458.61,500.00,135.15,0.00
,,,,,17:35:17,500.00,77.83,500.00,0.00,241.87
,,,,,17:35:18,500.00,500.00,392.46,60.04,0.00
,,,,,17:35:19,0.00,112.04,291.84,0.00,500.00
,,,,,17:35:20,21.90,181.57,118.54,427.69,317.29
,,,,,17:35:21,258.88,0.00,473.72,0.00,500.00
,,,,,17:35:22,500.00,466.64,500.00,500.00,402.58
,,,,,17:35:23,0.00,500.00,269.15,0.00,0.00
,,,,,17:35:24,411.15,500.00,401.87,464.76,264.01
,,,,,17:35:25,453.77,0.00,0.00,0.00,500.00
,,,,,17:35:26,500.00,0.00,500.00,0.00,131.14
,,,,,17:35:27,147.26,0.00,45.19,499.73,352.87
,,,,,17:35:28,0.00,20.00,272.71,500.00,500.00
