Client,Bush,Well,Work,Data,Time,ДавЛевНас,ДавПравНас,ДавВыход,РасЛевНас,РасПравНас,РасВыход,ТемпРец,ПлотРец,ОбъемВых,РасВоды,Плотность
Злые геологи,12,34,Тест,15:11:24
,,,,,11:08:12,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:13,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:14,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:15,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:16,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:17,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:18,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:19,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:20,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:21,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:22,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:23,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:24,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:25,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:26,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:27,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:28,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:29,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:30,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:31,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:32,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:33,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:34,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:35,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:36,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:37,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:38,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:39,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:40,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:41,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:42,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:43,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:44,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:45,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:46,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:47,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:48,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:49,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:50,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:51,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:52,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:53,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:54,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:55,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:56,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:57,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:58,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:08:59,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:09:00,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:09:01,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:09:02,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:09:03,0,0,0,0,0,0,0,0,0,0,0
,,,,,11:09:04,0,0,0,0,0,0,0,0,0,0,0
