Client,Bush,Well,Work,Date,Time,ДавЛевНас,РасходЛевНас,Плотность
Трион,12,34,Тест 5,20.01.2025,14:51:47,24.00,131.15,500.00
,,,,,14:51:49,500.00,0.00,0.00
,,,,,14:51:50,0.00,393.29,0.00
,,,,,14:51:51,0.00,500.00,0.00
,,,,,14:51:52,241.35,197.67,74.22
,,,,,14:51:53,500.00,500.00,56.53
,,,,,14:51:54,0.00,500.00,85.40
,,,,,14:51:55,0.00,0.00,43.79
,,,,,14:51:56,239.10,24.20,368.17
,,,,,14:51:57,92.60,36.39,0.00
,,,,,14:51:58,0.00,500.00,500.00
,,,,,14:51:59,0.00,500.00,500.00
,,,,,14:52:00,470.27,0.00,500.00
,,,,,14:52:01,0.00,105.82,0.00
,,,,,14:52:03,269.69,0.00,459.07
,,,,,14:52:03,374.25,396.60,0.00
,,,,,14:52:05,472.91,421.96,0.00
,,,,,14:52:05,500.00,500.00,500.00
,,,,,14:52:06,500.00,398.31,500.00
,,,,,14:52:07,500.00,264.64,0.00
,,,,,14:52:09,116.41,16.64,192.38
,,,,,14:52:09,500.00,69.91,0.00
,,,,,14:52:10,280.16,0.00,0.00
,,,,,14:52:11,0.00,197.10,0.00
,,,,,14:52:13,0.00,103.63,361.43
,,,,,14:52:13,0.00,500.00,500.00
,,,,,14:52:15,500.00,381.72,451.39
,,,,,14:52:15,271.34,500.00,29.18
,,,,,14:52:17,500.00,0.00,0.00
,,,,,14:52:17,500.00,286.48,23.70
,,,,,14:52:18,460.50,300.30,0.00
,,,,,14:52:19,500.00,0.00,317.11
,,,,,14:52:20,103.41,411.93,0.00
,,,,,14:52:21,284.71,0.00,427.91
,,,,,14:52:22,133.36,0.00,0.00
,,,,,14:52:23,382.19,396.33,316.99
,,,,,14:52:24,0.00,0.00,0.00
,,,,,14:52:25,151.42,0.00,500.00
,,,,,14:52:26,224.25,67.81,409.78
,,,,,14:52:27,487.51,500.00,307.07
,,,,,14:52:28,94.55,332.40,0.00
,,,,,14:52:29,0.00,500.00,354.99
,,,,,14:52:30,0.00,0.00,449.30
,,,,,14:52:31,172.03,470.83,364.82
,,,,,14:52:31,104.57,397.46,316.98
,,,,,14:52:32,500.00,161.46,200.41
,,,,,14:52:33,212.92,0.00,500.00
,,,,,14:52:34,0.00,500.00,500.00
,,,,,14:52:35,500.00,0.00,257.95
,,,,,14:52:36,500.00,37.94,0.00
,,,,,14:52:37,0.00,0.00,0.00
,,,,,14:52:38,500.00,500.00,127.53
,,,,,14:52:39,500.00,40.56,258.06
,,,,,14:52:40,500.00,500.00,161.95
,,,,,14:52:41,177.90,284.20,0.00
,,,,,14:52:42,398.51,500.00,500.00
,,,,,14:52:43,500.00,415.53,283.72
,,,,,14:52:44,0.00,0.00,0.00
,,,,,14:52:45,500.00,0.00,0.00
,,,,,14:52:46,110.04,206.45,335.91
,,,,,14:52:47,0.00,500.00,35.48
,,,,,14:52:48,374.31,352.46,0.00
,,,,,14:52:49,0.00,0.00,500.00
,,,,,14:52:50,103.54,434.89,500.00
,,,,,14:52:51,136.02,0.00,182.26
,,,,,14:52:52,203.81,500.00,500.00
,,,,,14:52:53,0.00,500.00,0.00
,,,,,14:52:54,216.61,43.05,500.00
,,,,,14:52:55,360.97,242.84,189.99
,,,,,14:52:57,149.36,449.05,500.00
,,,,,14:52:58,244.98,286.14,195.01
,,,,,14:53:00,500.00,155.65,383.85
,,,,,14:53:00,500.00,155.65,383.85
,,,,,14:53:00,112.24,26.83,0.00
