Date,Time,P_left,P_right,P_pipe,Q_left,Q_right,Q_pipe,VolumeL,VolumeR,VolumePipe,Qw,Dens_recirc,Dens_pipe,DesignIdx,StagesIdx,Design_desiredDens,VolumeLR,VolumeW,QVSource,Q_Slurry,Design_desiredSlurry,Design_Qw,CementValveSetValRecomend,CementValveOut,CementValveSetValMaxUser,Auto,PressAlarmVal,ValveGain,WaterSPGR,DensCement,CriteryDensChange,Dens_calculate,Q_LR,StageCode,V_org,Q_L_,Q_R_,Q_LR_,Q_,V_L_,V_R_,V_LR_,V_
12/20/2024,16:37:32,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.2,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.2,-0.01
12/20/2024,16:37:33,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.27,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.27,-0.01
12/20/2024,16:37:34,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.27,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.27,-0.01
12/20/2024,16:37:35,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.34,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.34,-0.01
12/20/2024,16:37:36,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.38,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.38,-0.01
12/20/2024,16:37:37,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.38,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.38,-0.01
12/20/2024,16:37:38,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.41,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.41,-0.01
12/20/2024,16:37:39,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.49,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.49,-0.01
12/20/2024,16:37:40,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.49,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.49,-0.01
12/20/2024,16:37:41,0.0,0.0,404.0,36.4,0.0,0.0,0.0,0.0,-0.01,0,1.21,2.42,0,0.0,0,214.52,0,0,0,0,0,0,0,0,0,1000.0,0,0,0,0,2.42,36.4,-1.0,0,36.4,0.0,36.4,0.0,0.0,0.0,214.52,-0.01
