Time,P_pipe,Q_pipe,VolumePipe,Dens_recirc,Q_LR_
-0000.2,0,0,0,1,0
-0000.2,0,0,0,1,0
-0000.2,0,0,0,1,0
-0000.2,0,0,0,1,0
-0000.2,0,0,0,1,0
-0000.2,0.4,0,0,1,0
-0000.2,3.7,0,0,1,0
-0000.2,3.9,0,0,1,0
-0000.2,3.9,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.9,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.9,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.7,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.8,0,0,1,0
-0000.2,3.7,0,0,1,0
-0000.2,3.8,0,0,1,0
NaN:NaN:NaN,-2.6,0,0,0.99,3.8
NaN:NaN:NaN,-1.5,0,0,1,3.7
NaN:NaN:NaN,-0.6,0,0,1,3.7
NaN:NaN:NaN,-0.1,0,0,0.99,3.7
NaN:NaN:NaN,0.8,0,0,0.99,3.7
NaN:NaN:NaN,1.5,0,0,0.99,3.7
NaN:NaN:NaN,2.2,0,0,0.99,3.5
NaN:NaN:NaN,2.8,0,0,0.99,3.7
NaN:NaN:NaN,3.4,0,0,0.99,3.5
NaN:NaN:NaN,4.1,0,0,0.99,3.7
NaN:NaN:NaN,4.6,0,0,0.99,3.5
NaN:NaN:NaN,5.2,0,0,0.99,3.5
NaN:NaN:NaN,5.8,0,0,0.99,3.5
NaN:NaN:NaN,6.3,0,0,0.99,3.5
NaN:NaN:NaN,6.8,0,0,0.99,3.5
NaN:NaN:NaN,7.4,0,0,0.99,3.5
NaN:NaN:NaN,7.8,0,0,0.99,3.5
NaN:NaN:NaN,8.4,0,0,0.99,3.5
NaN:NaN:NaN,8.9,0,0,0.99,3.4
NaN:NaN:NaN,9.3,0,0,0.99,3.5
NaN:NaN:NaN,9.5,0,0,0.99,3.5
NaN:NaN:NaN,9.9,0,0,0.99,3.4
NaN:NaN:NaN,10,0,0,0.99,3.5
NaN:NaN:NaN,9.8,0,0,0.99,3.4
NaN:NaN:NaN,9.7,0,0,0.99,3.5
NaN:NaN:NaN,9.4,0,0,0.99,3.5
NaN:NaN:NaN,9.5,0,0,0.99,3.5
NaN:NaN:NaN,9.2,0,0,0.99,3.5
NaN:NaN:NaN,9,0,0,0.99,3.5
NaN:NaN:NaN,8.7,0,0,0.99,3.5
NaN:NaN:NaN,8.6,0,0,0.99,3.5
NaN:NaN:NaN,8.6,0,0,0.99,3.5
NaN:NaN:NaN,8.5,0,0,0.99,3.5
NaN:NaN:NaN,8.5,0,0,0.99,3.5
NaN:NaN:NaN,8.6,0,0,0.99,3.9
NaN:NaN:NaN,8.6,0,0,0.99,4.4
NaN:NaN:NaN,8.8,0,0,0.99,4.2
NaN:NaN:NaN,8.9,0,0,0.99,4.2
NaN:NaN:NaN,8.9,0,0,0.99,4.2
NaN:NaN:NaN,9.2,0,0,0.99,4.5
NaN:NaN:NaN,9.6,0,0,1,4.4
NaN:NaN:NaN,9.4,0,0,0.99,4.5
NaN:NaN:NaN,10,0,0,0.99,4.8
NaN:NaN:NaN,10,0,0,0.99,4.7
NaN:NaN:NaN,9.9,0,0,0.99,4.8
NaN:NaN:NaN,10,0,0,0.99,4.7
NaN:NaN:NaN,10.6,0,0,0.99,4.7
NaN:NaN:NaN,10.2,0,0,0.99,4.8
NaN:NaN:NaN,10.7,0,0,0.99,4.7
NaN:NaN:NaN,10.3,0,0,0.99,4.7
NaN:NaN:NaN,11,0,0,0.99,4.8
NaN:NaN:NaN,10.4,0,0,0.99,4.7
NaN:NaN:NaN,10.7,0,0,0.99,4.7
NaN:NaN:NaN,10.7,0,0,0.99,4.7
NaN:NaN:NaN,10.9,0,0,1,4.7
NaN:NaN:NaN,10.7,0,0,1,4.8
NaN:NaN:NaN,11,0,0,0.99,4.7
NaN:NaN:NaN,10.9,0,0,0.99,4.7
NaN:NaN:NaN,11.4,0,0,0.99,4.7
NaN:NaN:NaN,11.2,0,0,0.99,4.7
NaN:NaN:NaN,11.6,0,0,0.99,4.7
NaN:NaN:NaN,11.1,0,0,0.99,4.8
NaN:NaN:NaN,11.2,0,0,0.99,4.7
NaN:NaN:NaN,11.8,0,0,0.99,4.7
NaN:NaN:NaN,11.4,0,0,0.99,4.7
NaN:NaN:NaN,11.8,0,0,1,4.7
NaN:NaN:NaN,12.1,0,0,1,4.7
NaN:NaN:NaN,12.3,0,0,0.99,4.8
NaN:NaN:NaN,12.2,0,0,0.99,4.8
NaN:NaN:NaN,12.6,0,0,0.99,4.8
NaN:NaN:NaN,12.6,0,0,0.99,4.9
NaN:NaN:NaN,12.6,0,0,0.99,5.1
NaN:NaN:NaN,13.2,0,0,0.99,4.9
NaN:NaN:NaN,13.1,0,0,0.99,5.1
NaN:NaN:NaN,12.9,0,0,0.99,4.9
NaN:NaN:NaN,13.2,0,0,0.99,4.9
NaN:NaN:NaN,13.2,0,0,0.99,5.1
NaN:NaN:NaN,13.1,0,0,0.99,4.9
NaN:NaN:NaN,12.9,0,0,0.99,5.1
NaN:NaN:NaN,13.2,0,0,0.99,4.9
NaN:NaN:NaN,13,0,0,0.99,5.1
NaN:NaN:NaN,13.1,0,0,0.99,4.9
NaN:NaN:NaN,12.8,0,0,0.99,5.1
NaN:NaN:NaN,12.5,0,0,0.99,4.9
NaN:NaN:NaN,12.6,0,0,0.99,5.1
NaN:NaN:NaN,12.4,0,0,0.99,4.9
NaN:NaN:NaN,12.1,0,0,0.99,5.1
NaN:NaN:NaN,11.9,0,0,0.99,4.9
NaN:NaN:NaN,11.9,0,0,0.99,5.1
NaN:NaN:NaN,11.7,0,0,0.99,5.1
NaN:NaN:NaN,11.4,0,0,0.99,4.9
NaN:NaN:NaN,11.5,0,0,0.99,5.1
NaN:NaN:NaN,11.2,0,0,0.99,5.1
NaN:NaN:NaN,11.1,0,0,0.99,4.9
NaN:NaN:NaN,10.9,0,0,0.99,5.1
NaN:NaN:NaN,10.7,0,0,0.99,5.1
NaN:NaN:NaN,10.5,0,0,0.99,4.9
NaN:NaN:NaN,9.2,0,0,0.99,4.1
