Client,Bush,Well,Work,Date,Time,ДавПравНас,РасходЛевНас,ТемпРецирк,РасходВоды,Плотность
Злой геолог,12,34,Проба,28.12.2024,17:40:18,187.30,500.00,248.98,500.00,235.79
,,,,,17:40:19,500.00,500.00,382.69,248.45,445.09
,,,,,17:40:20,0.00,354.59,500.00,500.00,0.00
,,,,,17:40:21,197.20,500.00,246.29,500.00,500.00
,,,,,17:40:22,128.43,492.49,0.00,215.00,277.98
,,,,,17:40:23,500.00,117.87,500.00,500.00,500.00
,,,,,17:40:24,336.79,492.38,462.59,500.00,302.11
,,,,,17:40:25,133.10,329.75,40.84,105.84,0.00
,,,,,17:40:26,209.34,500.00,371.59,74.53,237.60
,,,,,17:40:27,0.00,0.00,499.93,0.00,0.00
,,,,,17:40:28,340.64,500.00,360.77,0.00,82.87
,,,,,17:40:29,419.56,126.60,0.00,473.43,0.00
,,,,,17:40:30,500.00,335.95,122.46,299.71,500.00
,,,,,17:40:31,40.94,226.15,500.00,0.00,0.00
,,,,,17:40:32,263.98,0.00,0.00,0.00,500.00
,,,,,17:40:33,0.00,500.00,212.68,385.74,500.00
,,,,,17:40:34,0.00,476.71,235.55,61.74,47.93
,,,,,17:40:35,387.32,305.79,500.00,384.16,0.00
,,,,,17:40:36,444.25,196.05,364.35,500.00,500.00
,,,,,17:40:37,500.00,0.00,378.25,500.00,500.00
,,,,,17:40:38,156.67,108.24,78.39,500.00,0.00
,,,,,17:40:39,257.73,343.83,0.00,0.00,0.00
,,,,,17:40:40,281.52,478.69,500.00,0.00,500.00
,,,,,17:40:41,351.46,209.87,461.63,0.00,335.63
,,,,,17:40:42,0.00,500.00,0.00,0.00,3.60
,,,,,17:40:43,150.95,94.47,418.32,89.85,146.67
,,,,,17:40:45,154.05,227.76,500.00,295.42,500.00
,,,,,17:40:45,120.15,384.77,0.00,500.00,367.30
,,,,,17:40:46,500.00,0.00,41.75,350.34,500.00
,,,,,17:40:48,337.53,500.00,0.00,388.58,458.27
,,,,,17:40:49,500.00,500.00,500.00,500.00,170.86
,,,,,17:40:49,0.00,0.00,0.00,0.00,0.00
,,,,,17:40:50,0.00,0.00,500.00,113.89,171.36
,,,,,17:40:52,0.00,0.00,256.79,500.00,0.00
,,,,,17:40:53,500.00,451.45,0.00,500.00,130.00
,,,,,17:40:54,500.00,2.42,358.13,137.66,500.00
,,,,,17:40:55,500.00,220.68,153.78,195.83,405.59
,,,,,17:40:56,133.43,13.57,230.39,389.03,0.00
,,,,,17:40:57,445.19,0.00,194.53,500.00,500.00
,,,,,17:40:58,110.71,500.00,337.41,339.19,58.03
,,,,,17:40:59,195.97,500.00,80.63,0.00,406.58
,,,,,17:41:00,273.03,500.00,397.44,387.94,500.00
,,,,,17:41:01,500.00,60.26,500.00,395.55,63.14
,,,,,17:41:02,177.81,500.00,152.72,485.38,387.02
,,,,,17:41:03,110.85,0.00,0.00,0.00,358.97
,,,,,17:41:04,314.40,500.00,0.00,375.86,66.75
,,,,,17:41:05,500.00,343.64,473.94,7.19,420.57
,,,,,17:41:06,333.31,0.00,0.00,500.00,47.74
,,,,,17:41:07,0.00,0.00,0.00,500.00,290.60
,,,,,17:41:08,125.22,0.00,0.00,224.33,313.33
,,,,,17:41:09,0.00,0.00,500.00,292.40,500.00
,,,,,17:41:10,500.00,0.00,109.22,113.46,500.00
,,,,,17:41:11,182.62,500.00,0.00,365.24,500.00
,,,,,17:41:12,479.78,99.47,171.05,207.98,374.44
,,,,,17:41:13,342.31,0.00,500.00,447.41,500.00
,,,,,17:41:14,500.00,0.00,500.00,178.81,500.00
,,,,,17:41:15,323.37,23.45,0.00,410.76,0.00
,,,,,17:41:16,347.51,29.43,0.00,60.12,335.57
,,,,,17:41:17,0.00,500.00,162.56,500.00,500.00
,,,,,17:41:18,367.88,160.53,0.00,0.00,369.28
,,,,,17:41:19,500.00,0.00,0.00,333.45,0.00
,,,,,17:41:20,500.00,500.00,500.00,500.00,450.13
,,,,,17:41:21,494.33,383.64,130.00,239.60,500.00
,,,,,17:41:22,0.00,0.00,500.00,128.28,67.54
,,,,,17:41:23,6.06,500.00,348.78,500.00,10.80
,,,,,17:41:24,500.00,182.23,78.67,228.66,500.00
,,,,,17:41:25,0.00,478.61,500.00,68.89,0.00
,,,,,17:41:26,310.99,0.00,281.86,164.37,199.01
,,,,,17:41:27,262.68,0.00,500.00,0.00,100.04
,,,,,17:41:28,436.84,41.94,333.79,0.00,0.00
,,,,,17:41:29,0.00,0.00,190.75,0.00,500.00
,,,,,17:41:30,436.80,443.54,500.00,0.00,94.53
,,,,,17:41:31,0.00,0.00,290.39,500.00,300.27
,,,,,17:41:32,0.00,346.76,500.00,500.00,328.66
,,,,,17:41:33,500.00,500.00,500.00,500.00,240.30
,,,,,17:41:34,0.00,41.55,421.27,500.00,411.06
,,,,,17:41:35,0.00,0.00,229.95,437.60,0.00
,,,,,17:41:36,73.25,0.00,0.00,0.00,151.88
,,,,,17:41:37,362.54,0.00,415.76,297.11,500.00
,,,,,17:41:38,0.00,0.00,0.00,162.46,500.00
,,,,,17:41:39,0.00,14.86,79.26,500.00,500.00
,,,,,17:41:40,0.00,447.36,0.00,0.00,500.00
,,,,,17:41:41,496.46,0.00,500.00,0.00,109.51
,,,,,17:41:42,500.00,500.00,0.00,500.00,0.00
,,,,,17:41:43,207.75,500.00,168.15,4.47,245.81
,,,,,17:41:44,339.25,0.00,473.75,405.40,500.00
,,,,,17:41:45,0.00,0.00,103.53,221.01,372.43
,,,,,17:41:46,500.00,0.00,326.04,39.98,0.00
,,,,,17:41:47,500.00,500.00,111.82,500.00,0.00
,,,,,17:41:48,0.00,500.00,274.92,500.00,431.67
,,,,,17:41:49,500.00,500.00,285.40,500.00,197.72
,,,,,17:41:50,500.00,474.70,0.00,500.00,399.92
,,,,,17:41:51,500.00,25.20,500.00,0.00,165.51
,,,,,17:41:52,500.00,500.00,0.00,391.53,91.31
,,,,,17:41:53,139.07,435.49,73.49,0.00,309.12
,,,,,17:41:54,500.00,0.00,0.00,51.66,500.00
,,,,,17:41:55,64.13,266.63,466.29,500.00,325.60
,,,,,17:41:56,92.13,135.46,0.00,500.00,485.55
,,,,,17:41:57,500.00,0.00,500.00,0.00,0.00
,,,,,17:41:58,500.00,389.14,0.00,368.07,500.00
,,,,,17:41:59,194.62,0.00,0.00,339.37,0.00
,,,,,17:42:00,500.00,0.00,217.49,265.10,385.08
,,,,,17:42:01,13.32,500.00,193.90,463.45,20.10
,,,,,17:42:02,500.00,197.93,0.00,341.46,500.00
,,,,,17:42:03,248.04,0.00,282.38,0.00,0.00
,,,,,17:42:04,500.00,56.83,419.45,353.06,86.64
,,,,,17:42:05,500.00,298.94,478.07,164.84,428.64
,,,,,17:42:06,500.00,25.41,0.00,322.90,500.00
,,,,,17:42:07,500.00,0.00,0.00,488.28,119.32
,,,,,17:42:08,415.41,500.00,0.00,0.00,0.00
,,,,,17:42:09,100.58,53.46,239.58,282.34,200.70
,,,,,17:42:10,125.64,0.00,0.00,0.00,156.27
,,,,,17:42:11,317.20,500.00,0.00,280.13,0.00
,,,,,17:42:12,99.41,0.00,500.00,256.47,500.00
,,,,,17:42:13,500.00,254.75,0.00,116.77,0.00
,,,,,17:42:14,500.00,472.45,162.83,169.25,173.84
,,,,,17:42:15,494.31,487.47,204.76,210.02,399.76
,,,,,17:42:16,500.00,0.00,374.45,500.00,500.00
,,,,,17:42:17,0.00,0.00,500.00,500.00,0.00
,,,,,17:42:18,457.74,182.85,500.00,500.00,500.00
,,,,,17:42:19,0.00,500.00,80.92,396.59,357.15
,,,,,17:42:20,331.91,89.28,446.74,40.21,500.00
,,,,,17:42:21,364.19,0.00,0.00,500.00,74.95
,,,,,17:42:22,0.00,465.99,500.00,0.00,479.40
,,,,,17:42:23,330.29,500.00,31.10,345.79,0.00
,,,,,17:42:24,500.00,500.00,83.73,500.00,355.42
,,,,,17:42:25,500.00,0.00,331.75,52.81,21.67
,,,,,17:42:26,0.00,334.92,0.00,325.26,371.25
,,,,,17:42:27,116.03,500.00,282.69,0.00,500.00
,,,,,17:42:28,483.23,292.74,0.00,232.61,500.00
,,,,,17:42:29,500.00,500.00,349.10,314.73,192.92
,,,,,17:42:30,168.28,500.00,500.00,0.00,0.01
,,,,,17:42:31,0.00,500.00,198.96,391.44,86.05
,,,,,17:42:32,60.52,500.00,500.00,500.00,0.00
,,,,,17:42:33,414.80,419.53,500.00,0.00,500.00
,,,,,17:42:34,297.62,500.00,500.00,0.00,0.00
,,,,,17:42:35,500.00,0.00,161.44,0.00,500.00
,,,,,17:42:36,237.53,500.00,500.00,477.79,500.00
,,,,,17:42:38,500.00,0.00,327.50,163.56,500.00
