Time,Q_left,Q_right
12:07:23,0,0
12:07:24,150,0
12:07:25,155,305
12:07:26,160,300
12:07:27,158,310
12:07:28,164,310
12:07:29,170,315
12:07:30,168,325
12:07:31,168,340
12:07:32,169,345
12:07:33,170,350
12:07:34,172,300
12:07:35,175,310
12:07:36,180,329
12:07:37,178,330
12:07:38,175,340
12:07:39,182,332
12:07:40,185,335
12:07:41,187,335
12:07:42,189,328
12:07:43,178,320
12:07:44,180,324
12:07:45,181,340
12:07:46,182,345
12:07:47,185,340
12:07:48,190,341
12:07:49,185,347
12:07:50,186,324
12:07:51,185,300
12:07:52,187,304
12:07:53,189,305
12:07:54,190,310
12:07:55,191,323
12:07:56,185,345
12:07:57,180,344
12:07:58,183,344
12:07:59,190,344
12:08:00,192,340
12:08:01,196,325
12:08:02,200,320
12:08:03,201,322
12:08:04,201,340
12:08:05,203,342
12:08:06,202,341
12:08:07,199,335
12:08:08,198,330
12:08:09,193,320
12:08:10,192,315
12:08:11,195,324
12:08:12,192,325
12:08:13,182,324
12:08:14,178,324
12:08:15,186,329
12:08:16,185,346
12:08:17,186,340
12:08:18,190,333
12:08:19,192,332
12:08:20,193,331
12:08:21,195,334
12:08:22,196,335
12:08:23,200,339
12:08:24,201,345
12:08:25,204,340
12:08:26,200,321
12:08:27,210,367
12:08:28,189,350
12:08:29,193,320
12:08:30,199,321
12:08:31,200,324
12:08:32,200,329
12:08:33,201,340
12:08:34,198,320
12:08:35,187,321
12:08:36,198,333
12:08:37,200,334
12:08:38,203,345
12:08:39,205,342
12:08:40,210,333
12:08:41,200,333
12:08:42,199,341
12:08:43,187,322
12:08:44,185,320
12:08:45,183,318
12:08:46,180,317
12:08:47,190,315
12:08:48,178,314
12:08:49,180,300
12:08:50,187,321
12:08:51,199,355
12:08:52,210,333
12:08:53,211,322
12:08:54,211,320
12:08:55,215,318
12:08:56,213,324
12:08:57,200,326
12:08:58,205,330
12:08:59,189,331
12:09:00,188,332
12:09:01,178,333
12:09:02,180,326
12:09:03,185,345
12:09:04,185,307
12:09:05,186,317
12:09:05,180,320
12:09:06,170,321
12:09:05,190,326
12:09:05,185,324
12:09:05,186,329
12:09:05,188,345
12:09:05,200,323
12:09:05,210,320
12:09:05,201,318
12:09:05,200,317
12:09:05,200,314
12:09:05,198,300
12:09:05,199,298
12:09:05,180,310
12:09:05,178,300
12:09:05,189,306
12:09:07,186,307
12:09:08,183,310
12:09:09,189,303
12:09:10,191,305
12:09:11,199,307
12:09:12,201,344
12:09:13,202,350
12:09:14,205,310
12:09:15,207,315
12:09:16,206,329
12:09:17,200,330
12:09:18,199,339
12:09:19,201,321
12:09:20,187,320
12:09:21,195,318
12:09:22,210,315
12:09:23,201,318
12:09:24,200,320
12:09:25,200,320
12:09:26,200,320
12:09:27,196,326
12:09:28,195,330
12:09:29,190,300
12:09:30,198,300
12:09:31,187,310
12:09:32,185,315
12:09:33,181,323
12:09:34,178,341
12:09:35,200,339
12:09:36,205,338
12:09:37,202,339
12:09:38,204,340
12:09:39,203,340
12:09:40,200,340
12:09:41,192,340
12:09:42,185,350
12:09:43,172,350
12:09:44,180,350
12:09:45,183,350
12:09:46,190,350
12:09:47,200,350
12:09:48,205,349
12:09:49,210,345
12:09:50,198,339
12:09:51,200,340
12:09:52,203,341
12:09:53,202,342
12:09:54,198,341
12:09:55,187,340
12:09:56,180,340
12:09:57,178,339
12:09:58,167,338
12:09:59,159,336
12:10:00,178,330
12:10:01,180,335
12:10:02,189,335
12:10:03,200,337
12:10:04,202,337
12:10:05,205,338
12:10:06,199,339
12:10:07,200,339
12:10:08,201,340
12:10:09,201,340
12:10:10,205,349
12:10:11,210,347
