Client,Bush,Well,Work,Data,Time,РасЛевНас,РасПравНас
Злые буратины 80,80,80,Кондуктор 80 мм,22.11.2024,18:30:01,5,5
,,,,,18:30:02,10,12
,,,,,18:30:03,15,20
,,,,,18:30:04,18,19
,,,,,18:30:05,23,25
,,,,,18:30:06,36,50
,,,,,18:30:07,40,48
,,,,,18:30:08,42,50
,,,,,18:30:09,45,43
,,,,,18:30:10,56,78
,,,,,18:30:11,45,50
,,,,,18:30:12,32,0
,,,,,18:30:13,67,78
,,,,,18:30:14,23,76
,,,,,18:30:15,10,5
,,,,,18:30:16,15,12
,,,,,18:30:17,18,20
,,,,,18:30:18,23,19
,,,,,18:30:19,36,25
,,,,,18:30:20,40,50
,,,,,18:30:21,42,48
,,,,,18:30:22,45,50
,,,,,18:30:23,56,43
,,,,,18:30:24,45,78
,,,,,18:30:25,32,50
,,,,,18:30:26,67,0
,,,,,18:30:27,23,78
,,,,,18:30:28,10,76
,,,,,18:30:29,15,5
,,,,,18:30:30,18,12
,,,,,18:30:31,23,20
,,,,,18:30:32,36,19
,,,,,18:30:33,40,25
,,,,,18:30:34,42,50
,,,,,18:30:35,45,48
,,,,,18:30:36,56,50
,,,,,18:30:37,45,43
,,,,,18:30:38,32,78
,,,,,18:30:39,67,50
,,,,,18:30:40,23,0
,,,,,18:30:41,10,78
,,,,,18:30:42,15,76
,,,,,18:30:43,18,5
,,,,,18:30:44,23,12
,,,,,18:30:45,36,20
,,,,,18:30:46,40,19
,,,,,18:30:47,42,25
,,,,,18:30:48,45,50
,,,,,18:30:49,56,48
,,,,,18:30:50,45,50
,,,,,18:30:51,32,43
,,,,,18:30:52,67,78
,,,,,18:30:53,23,50
,,,,,18:30:54,10,0
,,,,,18:30:55,15,78
,,,,,18:30:56,18,76
,,,,,18:30:57,23,5
,,,,,18:30:58,36,12
,,,,,18:30:59,40,20
,,,,,18:31:00,42,19
,,,,,18:31:01,45,25
,,,,,18:31:02,56,50
,,,,,18:31:03,45,48
,,,,,18:31:04,32,50
,,,,,18:31:05,67,43
,,,,,18:31:06,23,78
,,,,,18:31:07,10,50
,,,,,18:31:08,15,0
,,,,,18:31:09,18,78
,,,,,18:31:10,23,76
,,,,,18:31:11,36,5
,,,,,18:31:12,40,12
,,,,,18:31:13,42,20
,,,,,18:31:14,45,19
,,,,,18:31:15,56,25
,,,,,18:31:16,45,50
,,,,,18:31:17,32,48
,,,,,18:31:18,67,50
,,,,,18:31:19,23,43
,,,,,18:31:20,10,78
,,,,,18:31:21,15,50
,,,,,18:31:22,18,0
,,,,,18:31:23,23,78
,,,,,18:31:24,36,76
,,,,,18:31:25,40,5
,,,,,18:31:26,42,12
,,,,,18:31:27,45,20
,,,,,18:31:28,56,19
,,,,,18:31:29,45,25
,,,,,18:31:30,32,50
,,,,,18:31:31,67,48
,,,,,18:31:32,23,50
,,,,,18:31:33,10,43
,,,,,18:31:34,15,78
,,,,,18:31:35,18,50
,,,,,18:31:36,23,0
,,,,,18:31:37,36,78
,,,,,18:31:38,40,76
,,,,,18:31:39,42,5
,,,,,18:31:40,45,12
,,,,,18:31:41,56,20
,,,,,18:31:42,45,19
,,,,,18:31:43,32,25
,,,,,18:31:44,67,50
,,,,,18:31:45,23,48
,,,,,18:31:46,10,50
,,,,,18:31:47,15,43
,,,,,18:31:48,18,78
,,,,,18:31:49,23,50
,,,,,18:31:50,36,0
,,,,,18:31:51,40,78
,,,,,18:31:52,42,76
,,,,,18:31:53,45,5
,,,,,18:31:54,56,12
,,,,,18:31:55,45,20
,,,,,18:31:56,32,19
,,,,,18:31:57,67,25
,,,,,18:31:58,23,50
,,,,,18:31:59,10,48
,,,,,18:32:00,15,50
,,,,,18:32:01,18,43
,,,,,18:32:02,23,78
,,,,,18:32:03,36,50
,,,,,18:32:04,40,0
,,,,,18:32:05,42,78
,,,,,18:32:06,45,76
,,,,,18:32:07,56,5
,,,,,18:32:08,45,12
,,,,,18:32:09,32,20
,,,,,18:32:10,67,19
,,,,,18:32:11,23,25
,,,,,18:32:12,10,50
,,,,,18:32:13,15,48
,,,,,18:32:14,18,50
,,,,,18:32:15,23,43
,,,,,18:32:16,36,78
,,,,,18:32:17,40,50
,,,,,18:32:18,42,0
,,,,,18:32:19,45,78
,,,,,18:32:20,56,76
,,,,,18:32:21,45,5
,,,,,18:32:22,32,12
,,,,,18:32:23,67,20
,,,,,18:32:24,23,19
,,,,,18:32:25,10,25
,,,,,18:32:26,15,50
,,,,,18:32:27,18,48
,,,,,18:32:28,23,50
,,,,,18:32:29,36,43
,,,,,18:32:30,40,78
,,,,,18:32:31,42,50
,,,,,18:32:32,45,0
,,,,,18:32:33,56,78
,,,,,18:32:34,45,76
,,,,,18:32:35,32,5
,,,,,18:32:36,67,12
,,,,,18:32:37,23,20
,,,,,18:32:38,10,19
,,,,,18:32:39,15,25
,,,,,18:32:40,18,50
,,,,,18:32:41,23,48
,,,,,18:32:42,36,50
,,,,,18:32:43,40,43
,,,,,18:32:44,42,78
,,,,,18:32:45,45,50
,,,,,18:32:46,56,0
,,,,,18:32:47,45,78
,,,,,18:32:48,32,76
,,,,,18:32:49,67,5
,,,,,18:32:50,23,12
,,,,,18:32:51,10,20
,,,,,18:32:52,15,19
,,,,,18:32:53,18,25
,,,,,18:32:54,23,50
,,,,,18:32:55,36,48
,,,,,18:32:56,40,50
,,,,,18:32:57,42,43
,,,,,18:32:58,45,78
,,,,,18:32:59,56,50
,,,,,18:33:00,45,0
,,,,,18:33:01,32,78
,,,,,18:33:02,67,76
,,,,,18:33:03,23,5
,,,,,18:33:04,10,12
,,,,,18:33:05,15,20
,,,,,18:33:06,18,19
,,,,,18:33:07,23,25
,,,,,18:33:08,36,50
,,,,,18:33:09,40,48
,,,,,18:33:10,42,50
,,,,,18:33:11,45,43
,,,,,18:33:12,56,78
,,,,,18:33:13,45,50
,,,,,18:33:14,32,0
,,,,,18:33:15,67,78
,,,,,18:33:16,23,76
